Date,FXB,FXC,FXE,FXF,FXY,FXB_mom_1m,FXB_mom_3m,FXB_mom_12m,FXC_mom_1m,FXC_mom_3m,FXC_mom_12m,FXE_mom_1m,FXE_mom_3m,FXE_mom_12m,FXF_mom_1m,FXF_mom_3m,FXF_mom_12m,FXY_mom_1m,FXY_mom_3m,FXY_mom_12m,VIX,MOVE,US_T10Y,GBP_T10Y,JPY_T10Y,EUR_T10Y,CHF_T10Y,CAD_T10Y
2023-11-01,111.98255157470703,68.76261138916016,94.83804321289062,97.94981384277344,61.56999969482422,0.007948271512070448,-0.03620428393283215,0.084351378032959,-0.007820107905313733,-0.031578803726199145,0.0021970189350830616,0.010905860428017444,-0.02940803520006796,0.08290261107807972,0.014272441858076634,-0.03618206577125571,0.09952911622492722,-0.014249109873421206,-0.05538509655491519,-0.019742105578015257,16.8700008392334,120.55000305175781,4.734,4.498,0.956,2.758,1.127,3.919
2023-11-02,112.47185516357422,69.41584014892578,95.3244857788086,98.17972564697266,61.75,0.006717225000199667,-0.035311528136098946,0.08837813771632486,0.0032957732656198058,-0.019971486078135814,0.011533978570558157,0.01117233752891833,-0.03000061409214938,0.08905387788942853,0.01131514058716987,-0.03619460601762492,0.10038151525783134,-0.008987343298808792,-0.05739584817004595,-0.020463212195315883,15.65999984741211,118.63999938964844,4.661,4.386,0.916,2.708,1.154,3.854
2023-11-03,114.08367156982422,69.80579376220703,96.30712127685547,99.00939178466797,62.150001525878906,0.017484635671887627,-0.024750235803802312,0.11224655181942378,0.006384285526041644,-0.015139976484996764,0.023633239404663664,0.018762478626084267,-0.01990460986578002,0.10561491319290406,0.015782508172138332,-0.028145336668267018,0.11242168710536027,-0.00671245278877719,-0.04677907308468843,-0.015991107092673373,14.90999984741211,118.73999786376953,4.576,4.287,0.916,2.638,1.124,3.745
2023-11-06,113.8054428100586,69.60106658935547,96.24873352050781,98.94940948486328,61.91999816894531,0.01077690813553489,-0.023952660414309657,0.13081763352070985,-7.343736521636668e-05,-0.014930638339777591,0.023932249594422972,0.014082838229469763,-0.016334344431291337,0.11452385840831814,0.011846948195717966,-0.025962742118103233,0.1236083869313298,-0.004981542271756179,-0.04444451770337343,-0.017298844336191554,14.890000343322754,121.73999786376953,4.647,4.38,0.875,2.738,1.197,3.816
2023-11-07,113.46002960205078,69.25007629394531,96.02498626708984,98.76947784423828,61.72999954223633,0.007623389787328572,-0.025164778474146443,0.10748164695472262,-0.011197733741661886,-0.01882138525499255,-0.0011770088876495999,0.013591964830024894,-0.020364456990622393,0.08881806687921912,0.00609943136270652,-0.025721178883790774,0.1005803377187382,-0.01342496654442804,-0.04501856242093527,-0.0295551179071879,14.8100004196167,120.08999633789062,4.569,4.279,0.881,2.667,1.172,3.759
2023-11-08,113.24896240234375,69.10384368896484,96.16117858886719,98.89942932128906,61.459999084472656,0.0012401028695177008,-0.023705567517168902,0.0929249600012958,-0.013833645666524008,-0.019277538408632888,-0.002461033543779245,0.011814853532133629,-0.01945928679492437,0.08387409349220021,0.00598916432707064,-0.025208133932433374,0.09641144721585349,-0.016167794405224756,-0.042231559323686274,-0.0344069503362987,14.449999809265137,117.0999984741211,4.492,4.245,0.848,2.614,1.096,3.704
2023-11-09,112.70210266113281,68.95761108398438,95.77201843261719,98.43962860107422,61.349998474121094,-0.005697416020410961,-0.030090898549780642,0.08499772821721674,-0.014689376398100529,-0.02094908799032913,-0.008812155326245796,0.006794099509324303,-0.019946649561381702,0.0741417903136139,-0.001428898467333628,-0.030026621368542172,0.08805889949418289,-0.014774401427322892,-0.043647747235489254,-0.04305103899476215,15.289999961853027,117.05000305175781,4.632,4.273,0.84,2.653,1.111,3.857
2023-11-10,112.86520385742188,69.09407806396484,95.93741607666016,98.5595703125,61.22999954223633,0.006789300563207146,-0.027731802850779252,0.1042008538494994,-0.005967619498372656,-0.018606204575055685,0.00029678762465201736,0.016522449174924292,-0.014937959631184272,0.08205450032363437,0.007037036113141326,-0.026736200864338144,0.08830241705510344,-0.01273784117536958,-0.04193397452001879,-0.03862457430547084,14.170000076293945,116.79000091552734,4.646,4.334,0.857,2.71,1.162,3.84
2023-11-13,113.27774047851562,69.12333679199219,96.09308624267578,98.59954833984375,61.22999954223633,0.013062967416680449,-0.02529653127291298,0.07387518070853072,-0.008876549742448447,-0.01588774682142413,-0.014554038457710639,0.01974539707897982,-0.01363373835724302,0.06445016803710057,0.0003960979130508413,-0.026149121791718466,0.06742155835334329,-0.013374183253110572,-0.04208383453953046,-0.07367623365061693,14.760000228881836,124.47000122070312,4.638,4.318,0.876,2.72,1.137,3.84
2023-11-14,115.31170654296875,69.68879699707031,97.74699401855469,100.08895111083984,61.810001373291016,0.02528755312517572,-0.009902977391612389,0.08077107180720255,-0.003133049393001741,-0.004541017040474826,-0.011208950706423915,0.03219172564033146,0.005840786459066383,0.06554999784592774,0.012632375375949412,-0.009287080032777895,0.05600840952026087,-0.004990302059304064,-0.026460864085085856,-0.08171143046788787,14.15999984741211,124.11000061035156,4.453,4.156,0.856,2.602,1.036,3.692
2023-11-15,114.5345687866211,69.68879699707031,97.41621398925781,100.1289291381836,61.27000045776367,0.021070379380687232,-0.01818027114784737,0.0817536251089066,-0.0011865369228836187,-0.004678775241392041,-0.008384426264478773,0.0263834874330795,0.00293618246951155,0.06517631687593473,0.01344675552766006,-0.011043689174069504,0.05843929609317544,-0.01161479595431647,-0.03905266513987038,-0.08333327626125864,14.180000305175781,122.19000244140625,4.537,4.231,0.8,2.631,1.046,3.752
